col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
11,18.557261758334953,16.655268416302405,17.711220710563623,21.26851478411106,17.173356949021578,16.478683401828732,16.804244496911213,18.399769256190613,18.653904533952492,15.469307462507443,19.300808552609627,19.141339810726542,18.23274131385233,18.94021540266272,16.895822761709635,14.660782969222074,17.692135405688912,16.894081821694463,17.495858236461515,17.85382355268149,16.401455787168807,16.992879145862194,18.523657648874092,16.677180023779314,16.042800006140357,17.02638751896992,17.497324204879206,20.485573404995893,15.94105697812761,18.191355714728818
12,16.04999013311771,16.91942515859307,17.69652076439283,20.895920586895645,19.302225140911457,15.80776085637645,17.789086406537756,17.847427676584303,17.109814803920752,14.43462946796461,17.209596964898722,19.330083128006294,18.82488202474698,16.75840963973925,15.583177535429005,15.943219566665501,16.506537611313867,13.724892835641256,17.326680672818963,16.748632513142457,16.000726638720142,15.831774062517956,19.371443022949908,18.499440998192497,15.21830115648809,15.178658624077979,16.394182540298264,17.832762929933764,15.78289267476447,15.295633550854703
13,15.190057497020593,15.090932676224245,15.432096756859348,20.17949309518734,18.468114885608156,14.753293403046397,15.337682637194284,15.661609621337991,17.391642946159624,13.984826670856753,18.88056555527943,16.741676788106773,18.508778224488196,17.349569571317737,16.8081411698935,14.130510776439142,15.131185702165206,15.07652832967965,16.527670776512014,16.064962251698635,17.3115613814393,15.45828575678998,17.901200066151446,17.215865967755672,15.450100671597344,16.31937540444268,15.464102692391801,15.611729740493729,16.80395833902978,16.37202738542378
14,15.117100797905348,14.520882444576678,16.286741832100905,17.484581882081883,17.259080984594178,15.294787515305908,15.114673953048353,17.084896857573796,16.826830647570624,13.638388264284751,14.615919270530886,15.663966201257828,16.74689380173523,16.8820967883331,17.216221514902998,13.702170915985413,15.895823685051768,13.78681960646243,15.205438088843193,15.309495078013391,15.580798424131803,14.972410781419477,16.824894134497626,14.799646444927085,16.318292554887204,14.20472095316515,14.663782171637596,13.70032830151986,16.411522853347037,15.184916218280353
15,16.048611742170003,14.973402617257781,17.064118832286567,15.27864148229633,14.17051419925861,14.033884095701609,14.898133594438058,16.042589475004622,16.208329238197848,14.596749859428826,16.285351280246317,16.461504320399467,16.411366769438285,16.2303647931629,15.3576995703406,14.341763778878835,16.600184696569553,12.852422262404506,15.29012927360588,14.089357140721981,14.831997998703129,13.578969162210742,16.206468905605043,15.385493963847141,15.490055333512487,15.426469289429823,14.64061144833102,15.24194624987194,15.032983651201548,14.857943982600396
16,14.55516744505594,15.021632679774088,14.998363375912627,15.387724654149748,13.664681154114067,13.248671100447062,15.217831713030606,15.091076845882279,14.628248305899527,13.296024866813639,15.39564617393422,14.688189463467383,15.525042178402138,15.035912058304424,13.427869549522898,14.376662103907112,16.359197962904727,12.883321630407984,14.192354235327386,14.39791851608958,13.594729486139878,14.360864526858341,15.296217391850586,15.75782549202116,15.494828764855995,13.923161172681597,15.823334824150258,14.974368380518078,14.498703853706662,14.623583166594113
17,15.087701035750934,15.950485777867607,16.087802857009205,15.184660425228802,12.85407256026404,13.326153134461416,14.963315181677894,17.534169289706327,14.289265667680716,12.996065129025148,13.141074278596221,12.81762878275935,14.974264956089856,14.316454546919887,13.01581357136744,14.424985918782463,13.764259492158947,14.24275893183815,14.39203370926968,14.904707080245371,13.848438619539127,13.125100819052838,15.949677333608669,16.095876316114822,14.20191222078463,12.70934714122609,16.959511349255287,12.621763421724419,13.321073452808175,12.810952337069315
18,13.760723346332215,15.121195692513945,15.48350869355083,14.16042333469283,12.428177093508575,13.890228497678002,14.351082326160903,17.068742273415126,13.64189017286992,12.429743516231683,14.552408739411216,13.982065561140155,13.738750716799707,13.973846018095815,14.104527485461016,13.526891762952499,13.256479325954974,12.593521709540646,14.07611453159917,13.295197791944513,12.906042037195897,12.453337406735109,14.317697772585225,14.43666903641544,15.561414319041479,12.253639029986463,15.496889749021825,13.164534117387793,12.912763072005284,14.295397195848569
19,12.476944932620071,14.774564767898202,17.627579390657477,12.657204704232704,12.92110006151378,12.597196086271412,15.156520074413493,15.793728999751677,13.423555362048777,14.181441273758399,13.270078289416976,12.549032336518707,15.61908633540926,14.162864103444118,12.017966077040054,13.95045888104075,13.04303218057311,12.019707186203876,12.325849099258612,13.758917290289297,14.245051859580837,11.89428942709576,16.178402833690008,13.22622564275191,12.984316009128294,12.841890571613323,14.501591055900331,13.783784165221435,12.680768091492201,14.296768860431774
20,12.732664141362582,16.31677331083591,15.307885465737957,12.103315883261768,12.709454523959796,12.346304647668937,13.19010733811654,14.637426719844083,12.26486060648001,11.92063403926512,12.222046145317977,12.436864914719003,12.70828272210014,16.671742928307008,11.55041679097617,14.434597984117282,12.762836848793368,12.950718813067763,13.310241673399393,13.408291155842566,13.057196865222808,12.018891813003929,15.957449355686993,13.321840234473846,12.59898162173867,12.310980319801711,13.94634681292165,11.961696087692808,12.637809911812713,14.093989244954264
