col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
14,17.808418895533286,20.424501356187296,19.875693862898213,20.180136994725274,21.1985858974994,18.72136360659412,18.71494644409939,18.53394109602674,17.649518544467902,17.422006210465124,18.092582166059135,21.5632990154207,27.604752588239734,22.783207067709444,19.23445171673135,18.058682096336497,21.014922855461784,20.311249717876034,19.131174139144967,21.020998167589877,22.266495322587833,18.062255910968915,19.675814245140057,20.52204444215685,18.00914964861685,20.689786078517415,18.814120780037403,16.272437887402525,16.675450229376075,21.186370287631917
15,16.405136214812376,20.28380745687074,17.903030272596986,19.4335929857677,19.575379622041222,20.274876288062938,16.99166069387684,17.708053740596498,17.778921905942035,17.31780287592395,18.05147421915535,19.472536452299273,27.224294958998897,24.931074534275055,18.3679452072561,16.92315595536005,17.964694308593863,18.894168479612073,21.21809802444119,21.265912221479056,20.270475041921866,17.064805872822753,17.66654197004165,20.024027902733387,17.610995429028087,18.3821655060739,19.540820633564238,17.18007406561832,16.364441003456378,20.259396232598615
16,18.297621279787236,19.366192508777136,21.457553268072694,18.503025255664028,20.07550228333831,20.315852489841713,19.074424734852037,16.976132780861086,16.804338780417705,19.18371512890287,17.046781320337423,20.315657831357203,24.822727266133427,26.383725353135556,18.724381221539232,17.131037943124472,16.060005220907737,20.623891198502076,17.83665392747762,22.092217309165953,20.510581642226366,16.645391585195114,17.916229805393836,19.06985785001045,17.4551138028608,19.836072766510103,18.44984598871341,18.049080763898516,16.2728380005992,20.1172523018614
17,16.033949281202375,18.883905067093522,18.440447629570333,19.837765575701592,21.343382727013726,18.590269779707846,17.73133062649953,18.154245923819033,17.41983645601136,18.96969942509671,17.86691871728334,19.56154137693312,25.035339592199445,21.578073695686474,18.65807471168679,16.902293133461455,17.345439203208578,21.61524595024371,17.397735452269348,22.93674264826423,21.29730989921147,18.105534266010782,19.983890595692877,22.25611046576528,16.199164181269122,20.80890306282981,20.157663944703984,16.622039482386874,15.985301892346882,19.862868418769906
18,16.76645984272752,17.013318440393498,19.69381482337189,19.637871471683443,18.846740276422214,18.03080374731618,16.77602298412879,18.327703051537203,17.3293623708757,18.660814175023166,17.051241792825223,19.800459169797758,25.188318746149672,22.97319371403823,18.841296832885824,17.03455382995068,17.757420341765197,20.47251139991898,17.523841175324396,26.070405513276707,18.770262514387248,16.845480484369734,19.078904911650795,20.344419611723595,17.521140139542414,19.49681526711562,17.980032266587152,17.5209105206508,16.910224763832503,20.53589802586807
19,17.289170032509105,18.614212759650496,17.953600060812146,18.985129868015793,17.299569940767245,18.60109490996993,19.538390654356153,17.709089949551682,16.716878484331012,17.161845788898646,16.746528438189767,19.542344328228932,25.718083755338473,23.587767406511272,17.226521155962615,16.77011392421991,16.238095391769814,23.63239173750513,17.779316693283942,26.0035208539259,17.662509700064668,18.28532033712277,18.545344392489483,17.66670008608886,17.496197120966674,18.90007809102342,17.281688181526068,18.05159104621571,15.801210241907427,18.495482126662054
20,17.842251458548443,17.696660356920212,19.060710645403447,20.226215871192732,17.592738122063935,19.47261196478427,18.720905360826134,18.108459033645918,16.025330343508916,17.115424509392952,17.653659942441557,17.879956803025586,24.432906796139765,24.563388743155055,17.22613875499307,16.050967208178555,18.879199016918125,22.438972387997225,17.047333551688094,24.94605770321924,17.75796820153197,19.76091927060232,17.664649365097283,19.61285298072267,17.47581351779105,20.474086438744177,19.051233748805075,18.030359699540156,16.659739904774806,17.67791630504435
21,18.025749792887435,18.491731864777773,19.576629762867746,18.86105734344632,17.205383492681882,19.074438245910674,18.13122675979969,18.78212380109636,17.5026162170983,17.99221924944997,17.81655283167234,19.40178942446369,24.05334452294151,23.654636871313915,19.10813282265984,17.70306732070165,20.20813481386765,22.325241427326592,17.310883570453793,22.659869165136104,18.54711871404724,18.69539102151799,18.90478637176133,19.706333035645727,17.689446532843455,18.05638173059808,17.23519546684188,16.74472451640785,17.44005553507134,17.690301035114487
22,18.101919120688812,19.44033618499301,19.81378856158549,19.383138121025034,17.407067330356295,18.757066912315278,18.181630492731536,18.70348034078698,16.024958282711697,16.97207887550882,17.02040645267937,17.344084373078605,24.008722391843317,22.306779688024157,18.667712643556555,16.78747674199359,17.928320108246986,24.590594779767205,16.791807705319293,21.56681639011142,17.153467177116443,19.17360196473502,20.929530109437835,19.55714877975313,17.275349578861476,17.42542538515819,18.617824424694085,16.265523705649308,17.4405678558642,17.646213614998974
23,16.601321759316455,18.447733999336393,19.144994869667876,18.562913352491638,18.517355124751067,18.091378697885386,18.639666879928296,17.66826928920905,17.625206600917444,17.391160871068546,16.333137390481568,21.990966214501995,23.079341768190886,24.078228168986936,17.223036826448656,17.348412696879624,19.478455143287256,24.25509244099635,17.335065349153687,20.604967692895226,17.79057365806046,18.97927798088743,21.615431358908708,19.163843870803532,16.204240340010067,15.526609154834304,19.200179040231646,18.182648545210668,17.54183412703284,17.197657618803753
