col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
11,55.26088704308316,49.06764894562262,58.39249512039868,53.70690694080589,53.120585289398,52.141428512914835,33.38796201167546,37.197096698257546,54.35632508840895,25.755360354050826,54.407032671981796,56.69624722834394,56.592827108841526,35.49610966303727,28.99500551967762,53.84565473614866,55.91725649428654,47.89311248811244,52.861187751341255,52.379743899734166,55.77478054720424,38.80794327036673,32.24155122561445,41.01543161440861,59.834764044159726,57.106375878178085,50.35741241900931,56.19845047393248,52.79171309756754,34.01200574427542
12,55.87095214555347,48.834137167504146,57.826512673982734,55.71109720195161,53.2198737254175,51.92647336975066,31.97940222986273,34.43073040342358,55.74924306527586,25.274711690924036,54.98857039978837,55.475694649637695,54.524804412693385,31.11554124644599,27.68322285234387,54.52031462917806,55.02041839615419,46.673952428226215,52.93283131076836,53.08209868770246,55.50719099759238,34.02140978505671,29.60103723185046,34.68367740929561,55.831485056494046,56.80106777879186,55.10828105198045,40.49916588383935,53.452163511975236,29.701785703219517
13,51.387509345417456,47.77073282738411,50.25274845047619,37.90674425169777,42.144448084125706,49.661535524675074,29.220741151847662,31.054452322041016,55.997974965664035,22.76479356197587,55.47918335139184,58.19067461168652,54.64238349825645,29.55755325808429,28.791080586436713,55.797377499249066,40.695171249396445,47.05182545656892,53.37036445730337,53.31865534569198,55.71878047485976,30.23761097801837,27.862279054725803,31.342560459363945,34.82522615553882,56.314404623694315,52.879266348264295,37.66604670521766,53.35358437744089,28.181903346875092
14,37.94933482575505,48.465896164867985,39.08849254003951,33.80224777801669,38.935907325606756,50.32322383411145,23.934014409776573,32.247688305541686,58.17637368988186,21.1663622343613,56.42915761597174,55.773771947832806,39.548674100687776,29.83999783304433,23.680024902415585,55.2626382161388,37.38357938422755,47.208574150461416,51.176020141278975,53.57005028464788,54.6147653481708,26.85528781297436,28.428329746707504,29.396874462887613,32.545936305015154,39.963445416561584,52.31408785447028,33.053130731828894,53.398353038361805,28.913573842559536
15,33.42826548147667,49.52288010508183,33.894832358714396,31.507051660834907,34.7607480282675,49.36337115619068,19.10204132099014,28.000146043251284,56.972658960015686,20.153559942718545,54.62109710190075,48.937021657555704,36.028120370525194,28.4375445559486,23.925142179662473,42.249851602941476,35.75259350944558,48.06328701950946,52.68580045908051,55.47151558819766,54.40654370074947,24.934736668102698,27.872605490573765,24.39383445459258,29.118829054928764,36.793514304569456,51.79831559818595,32.506297851404454,54.048840696025024,27.589274370050788
16,29.204405486726472,51.0964405312603,33.981076793392994,29.902687861726097,34.55867095540478,51.400636324012524,20.409215917295786,28.836995695859567,55.572357198045154,18.6539566225437,55.42723986414292,37.90887999422108,32.311245162167666,23.321908684233694,19.636610351705073,36.09771832582847,32.32736716428436,46.25936328713255,53.67264558388196,57.98234027226757,56.770641266829024,23.992897108192924,29.67479125493905,23.205670440155213,24.935764813276773,31.127807046659427,53.9139209054798,29.868046724841825,53.56050284622529,24.75800091213466
17,25.10969446148772,50.0455205174645,31.19024886705022,25.61255875488223,27.510468793986774,48.087556527186315,17.65461368731256,22.682623896999175,54.8806120386468,20.176586741169345,56.60415337076516,35.21280405531986,30.002261586360714,20.192105184324404,21.229401253023116,31.45569230555585,28.644398065566502,47.844666827481944,52.54364002431704,56.95872001398135,52.5779699973064,20.76793624751987,25.87014225335923,20.46413175178774,22.854221826377753,28.719496916636167,53.77261351109195,25.135156212554854,54.162868739071556,21.559325266728322
18,23.214574872150727,48.824068452640454,28.26634572510349,20.885717933010483,22.655410002433374,51.16627593747123,18.79646199951539,20.62608572213891,56.640661889573884,21.97372657174874,54.94363538301916,32.60686051813022,26.807786751190577,21.385492789777715,21.40026344728898,30.077401694570295,28.637504656043234,46.551169274675516,52.68177765310193,57.30615475049517,55.95353687258158,20.193027797095475,25.717561215145544,19.691091156078112,19.01750978606096,22.227972696661602,41.85400921662982,23.37473337813415,53.49794798662708,21.321617916331036
19,22.06850193663198,48.94004188800638,27.8982071081054,24.18667448890629,24.13005204902474,51.29894189418551,16.54634255240268,18.958526828575362,55.043950102314376,20.851160728274454,55.721532041460975,30.13464807382924,24.647765640792386,20.470944244274126,21.227778651599227,23.213038412111164,28.508683017177695,47.74820570435049,54.294074986466725,55.483977449599806,54.3921472228554,21.82616664373176,26.681220417351824,21.29691012897661,19.58575678777774,21.185262182480002,34.67041744920696,23.516268626287186,52.024777183804616,19.88758428438412
20,21.398474391664134,48.190597062409836,20.495587435426486,21.51459882666399,20.087318888063145,51.25387820561096,18.571700805336956,17.56176744521588,56.457571644641014,22.936015170705172,55.62899150115733,22.557335810673862,23.062911487392014,20.85362772854107,19.515386152628256,23.329779765740167,29.1664897674598,47.53265228581463,51.78676149126771,39.068191521772135,55.7594339696452,18.88458532370957,27.22823618613994,19.514049617812248,20.24155517491868,19.96824867092972,30.57842307230183,23.04277513650782,54.845278145563846,19.080208948249123
