Hours (H),Population Size,Generations,Crossover (t),Mutation (m),Delta
8,1000,50,0.1,0.9,0.650
10,2000,100,0.1,0.1,0.0
12,2000,100,0.3,0.8,0.25
14,2000,150,0.3,0.5,0.25
16,4000,150,0.6,0.2,0.5
18,4000,150,0.1,0.4,0.625
20,8000,150,0.8,0.9,0.025
22,8000,150,0.5,0.4,0.5
24,8000,150,0.7,0.9,0.75
